,MI_num,Nr,an_num_mean,an_num_std,an_th_0,an_th_1,an_th_2,an_th_comp_0,an_th_comp_1,an_th_comp_2,an_th_norm_0,an_th_norm_1,an_th_norm_2,an_th_norm_comp_0,an_th_norm_comp_1,an_th_norm_comp_2,factor
0,-0.0,32,1.0,0.0,"(1.0,)","(1.0,)","(1.0,)","(1.0,)","(1.0,)","(1.0,)",1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,-0.0,32,1.0,0.0,"(0.99999999564979591,)","(0.99995192284329992,)","(0.77222864161378513,)","(0.99999999741696211,)","(0.99996269081276279,)","(0.77839756059832765,)",1.0,0.999999444784,0.774862117523,1.0,0.999999620698,0.781016284036,0.166666666667
2,0.0610408767563,32,0.999865,0.000136244265934,"(0.99973933264785342,)","(0.98947721076372452,)","(0.58249857512982883,)","(0.99979969567479599,)","(0.99076512443898801,)","(0.58893331635468571,)",1.0,0.998238472013,0.585008163558,1.0,0.998548998939,0.591461428617,0.333333333333
3,2.72788218289,32,0.9890784375,0.00654514854175,"(0.98353996694709422,)","(0.91549022703910832,)","(0.45764377136485362,)","(0.98558477076731688,)","(0.92104439548105921,)","(0.46257264486700028,)",0.999997935458,0.962096208131,0.45965875619,0.99999877821,0.965668406746,0.464611317971,0.5
4,15.1017484058,32,0.89422125,0.0413892484341,"(0.88195196092377781,)","(0.76245906433703337,)","(0.37084081941887748,)","(0.88877796571705903,)","(0.76999002444290809,)","(0.37398123829214514,)",0.99612623619,0.8327219181,0.372397426258,0.996881685385,0.84015916685,0.375555586531,0.666666666667
5,28.234704229,32,0.6691578125,0.0861627484305,"(0.67338404572758725,)","(0.57981719160383449,)","(0.30755322669989682,)","(0.67973250173787569,)","(0.58462828402848421,)","(0.30901769188724659,)",0.876287389291,0.631659022176,0.308739483642,0.883530036715,0.637340209981,0.310212737161,0.833333333333
6,29.9436326302,32,0.41889375,0.0964019010364,"(0.43971566628406167,)","(0.41388216936388078,)","(0.25969421224179212,)","(0.43971566628406167,)","(0.41388216936388078,)","(0.25969421224179212,)",0.470476388558,0.429574842813,0.260590396442,0.470476388558,0.429574842813,0.260590396442,1.0
7,24.1040564572,32,0.2357878125,0.078072140627,"(0.25469091539021649,)","(0.28372009690159772,)","(0.22245833902924494,)","(0.24902224116484634,)","(0.27953807418305388,)","(0.22121370586681871,)",0.132508145374,0.270338372646,0.22312849159,0.124865692838,0.265336455319,0.221876357998,1.16666666667
8,16.8693813141,32,0.1271346875,0.054473684701,"(0.13567786796806047,)","(0.18978312193939501,)","(0.1928219857206987,)","(0.12806605101296964,)","(0.18311955257212381,)","(0.19053298735553981,)",0.0219015410515,0.161569829575,0.193315501078,0.0183563089217,0.154223230795,0.191013075526,1.33333333333
9,11.0743562582,32,0.06881375,0.0354191147855,"(0.068351526121147171,)","(0.12520078389451189,)","(0.16879206834864369,)","(0.061563623007553935,)","(0.11766448942145924,)","(0.16563261122275896,)",0.00246920693366,0.0934357555924,0.169146810396,0.00174575478033,0.0860156034797,0.16596952323,1.5
10,7.0845636869,32,0.037924375,0.0230200984112,"(0.033218037270371988,)","(0.082036177834716395,)","(0.14900400742517872,)","(0.028251927343517766,)","(0.074726549766959,)","(0.1451221281281791,)",0.000213971739901,0.0529657681939,0.149249099303,0.000121764087463,0.0466727998401,0.145346338548,1.66666666667
11,4.59857834096,32,0.02179375,0.0151174887858,"(0.01579221525439168,)","(0.053640167149790384,)","(0.13249376941719992,)","(0.012563297029894073,)","(0.047147770521073364,)","(0.12801445239651732,)",1.55279919037e-05,0.0296947914256,0.132651764878,6.82176628687e-06,0.0248767870058,0.128149662283,1.83333333333
12,2.9952440173,32,0.0129225,0.0101381174288,"(0.0074163745303045892,)","(0.035109098110092121,)","(0.11856213328367465,)","(0.0054714228781278275,)","(0.02965722834015384,)","(0.11359061282582983,)",1.00249026223e-06,0.0165668050109,0.118650637364,3.27490204617e-07,0.0131129990588,0.113655376712,2.0
13,1.99346584328,32,0.0079625,0.00705873439435,"(0.0034641266430667757,)","(0.023051570421986016,)","(0.10669046530968573,)","(0.0023513850337325711,)","(0.018643602943569239,)","(0.10131534489224991,)",6.00898905912e-08,0.00923675737718,0.106723330416,1.41077456662e-08,0.00686840361128,0.101324287589,2.16666666667
14,1.36902038271,32,0.0051071875,0.00492372650691,"(0.0016171364684706389,)","(0.015203176294101901,)","(0.09648658839526969,)","(0.0010026087723734058,)","(0.011732166472431145,)","(0.090782568463881219,)",3.44749899201e-09,0.00516185682536,0.0964747976404,5.63777920341e-10,0.00358693137941,0.0907472930015,2.33333333333
15,0.945816879347,32,0.0033246875,0.00347310558468,"(0.00075706583740937287,)","(0.010081259329234324,)","(0.087648927542200827,)","(0.00042581893568762662,)","(0.0073989208974460548,)","(0.081679111107000435,)",1.93510082482e-10,0.00289726517752,0.0876012509151,2.14121248624e-11,0.00187218553994,0.08160887887,2.5
