,Nr,an_num_mean,an_num_std,s
0,32,0.438424375,0.00153780878505,1
1,32,0.229815625,0.00202120468023,2
2,32,0.14729375,0.00237213610223,3
3,32,0.1140275,0.00233780880313,4
4,32,0.091701875,0.0025819305247,6
5,32,0.086884375,0.00254436993367,7
6,32,0.0780921875,0.00236297843618,10
7,32,0.07253375,0.00236384452482,13
8,32,0.066726875,0.00257955354361,17
9,32,0.0611225,0.00239636312983,22
10,32,0.056035625,0.0022871911506,28
11,32,0.0501665625,0.00212776821073,37
12,32,0.0453190625,0.00208122013398,48
13,32,0.0404521875,0.00227849969055,62
14,32,0.0358315625,0.0018121846439,80
15,32,0.0316028125,0.00197552561736,104
16,32,0.02741125,0.00184443885437,135
17,32,0.023745,0.00166161254509,175
18,32,0.0203740625,0.00152876759878,226
19,32,0.01711375,0.00118322850181,293
20,32,0.0144025,0.00129411890876,380
21,32,0.0121846875,0.000992418083443,491
22,32,0.009985,0.0010235355392,636
23,32,0.0081403125,0.000778510133103,824
24,32,0.0064971875,0.000704353579421,1067
25,32,0.0052421875,0.000612738394295,1382
26,32,0.0042334375,0.000462821573172,1789
27,32,0.0033196875,0.000384004267351,2317
28,32,0.0025496875,0.000396038858376,2999
